Name|Team|Position|Height|Weight|Age|Address1|Address2
Sean Green|SEA|Relief Pitcher|78|230|27.86|P.O. Box 4100|Seattle, WA 98104
Mark Lowe|SEA|Relief Pitcher|75|190|23.73|P.O. Box 4100|Seattle, WA 98104
Josh Paul|TB|Catcher|73|200|31.78|One Tropicana Drive|St. Petersburg, FL 33705
Dioner Navarro|TB|Catcher|70|190|23.06|One Tropicana Drive|St. Petersburg, FL 33705
Shawn Riggans|TB|Catcher|74|190|26.6|One Tropicana Drive|St. Petersburg, FL 33705
Ty Wigginton|TB|First Baseman|72|200|29.39|One Tropicana Drive|St. Petersburg, FL 33705
Brendan Harris|TB|Second Baseman|73|200|26.51|One Tropicana Drive|St. Petersburg, FL 33705
Jorge Cantu|TB|Second Baseman|73|184|25.08|One Tropicana Drive|St. Petersburg, FL 33705
Ben Zobrist|TB|Shortstop|75|200|25.76|One Tropicana Drive|St. Petersburg, FL 33705
B.J. Upton|TB|Third Baseman|75|180|22.52|One Tropicana Drive|St. Petersburg, FL 33705
Carl Crawford|TB|Outfielder|74|219|25.57|One Tropicana Drive|St. Petersburg, FL 33705
Rocco Baldelli|TB|Outfielder|76|187|25.43|One Tropicana Drive|St. Petersburg, FL 33705
Greg Norton|TB|Outfielder|73|200|34.65|One Tropicana Drive|St. Petersburg, FL 33705
Elijah Dukes|TB|Outfielder|74|220|22.68|One Tropicana Drive|St. Petersburg, FL 33705
Delmon Young|TB|Outfielder|75|205|21.46|One Tropicana Drive|St. Petersburg, FL 33705
Jonny Gomes|TB|Designated Hitter|73|205|26.27|One Tropicana Drive|St. Petersburg, FL 33705
Edwin Jackson|TB|Starting Pitcher|75|190|23.47|One Tropicana Drive|St. Petersburg, FL 33705
Scott Kazmir|TB|Starting Pitcher|72|170|23.1|One Tropicana Drive|St. Petersburg, FL 33705
Casey Fossum|TB|Starting Pitcher|73|160|29.14|One Tropicana Drive|St. Petersburg, FL 33705
Jae Seo|TB|Starting Pitcher|73|215|29.77|One Tropicana Drive|St. Petersburg, FL 33705
J.P. Howell|TB|Starting Pitcher|72|175|23.85|One Tropicana Drive|St. Petersburg, FL 33705
Tim Corcoran|TB|Starting Pitcher|74|205|28.88|One Tropicana Drive|St. Petersburg, FL 33705
Jason Hammel|TB|Starting Pitcher|78|200|24.49|One Tropicana Drive|St. Petersburg, FL 33705
James Shields|TB|Starting Pitcher|76|214|25.19|One Tropicana Drive|St. Petersburg, FL 33705
Brian Stokes|TB|Starting Pitcher|73|200|27.48|One Tropicana Drive|St. Petersburg, FL 33705
Juan Salas|TB|Relief Pitcher|74|190|28.31|One Tropicana Drive|St. Petersburg, FL 33705
Jeff Ridgway|TB|Relief Pitcher|75|180|26.54|One Tropicana Drive|St. Petersburg, FL 33705
Ruddy Lugo|TB|Relief Pitcher|70|205|26.77|One Tropicana Drive|St. Petersburg, FL 33705
Jae-Kuk Ryu|TB|Relief Pitcher|75|220|23.75|One Tropicana Drive|St. Petersburg, FL 33705
Chad Orvella|TB|Relief Pitcher|71|190|26.41|One Tropicana Drive|St. Petersburg, FL 33705
Dan Miceli|TB|Relief Pitcher|72|215|36.47|One Tropicana Drive|St. Petersburg, FL 33705
Seth McClung|TB|Relief Pitcher|78|235|26.06|One Tropicana Drive|St. Petersburg, FL 33705
Jon Switzer|TB|Relief Pitcher|75|191|27.55|One Tropicana Drive|St. Petersburg, FL 33705
Shawn Camp|TB|Relief Pitcher|73|200|31.28|One Tropicana Drive|St. Petersburg, FL 33705
Scott Dohmann|TB|Relief Pitcher|73|181|29.04|One Tropicana Drive|St. Petersburg, FL 33705
Jason LaRue|KC|Catcher|71|200|32.95|One Royal Way|Kansas City, MO 64129
John Buck|KC|Catcher|75|210|26.65|One Royal Way|Kansas City, MO 64129
Ryan Shealy|KC|First Baseman|77|240|27.5|One Royal Way|Kansas City, MO 64129
Ross Gload|KC|First Baseman|72|185|30.9|One Royal Way|Kansas City, MO 64129
Esteban German|KC|Second Baseman|69|165|29.09|One Royal Way|Kansas City, MO 64129
Mark Grudzielanek|KC|Second Baseman|73|190|36.67|One Royal Way|Kansas City, MO 64129
Angel Sanchez|KC|Second Baseman|74|185|23.44|One Royal Way|Kansas City, MO 64129
Angel Berroa|KC|Shortstop|72|175|29.09|One Royal Way|Kansas City, MO 64129
Andres Blanco|KC|Shortstop|70|155|22.89|One Royal Way|Kansas City, MO 64129
Mark Teahen|KC|Third Baseman|75|210|25.48|One Royal Way|Kansas City, MO 64129
Joey Gathright|KC|Outfielder|70|170|25.84|One Royal Way|Kansas City, MO 64129
David DeJesus|KC|Outfielder|72|175|27.2|One Royal Way|Kansas City, MO 64129
Shane Costa|KC|Outfielder|72|220|25.22|One Royal Way|Kansas City, MO 64129
Mitch Maier|KC|Outfielder|74|210|24.67|One Royal Way|Kansas City, MO 64129
Reggie Sanders|KC|Outfielder|73|205|39.25|One Royal Way|Kansas City, MO 64129
Emil Brown|KC|Outfielder|74|200|32.17|One Royal Way|Kansas City, MO 64129
Mike Sweeney|KC|Designated Hitter|75|225|33.61|One Royal Way|Kansas City, MO 64129
John Bale|KC|Starting Pitcher|76|205|32.77|One Royal Way|Kansas City, MO 64129
Luke Hudson|KC|Starting Pitcher|75|195|29.83|One Royal Way|Kansas City, MO 64129
Scott Elarton|KC|Starting Pitcher|80|240|31.02|One Royal Way|Kansas City, MO 64129
Odalis Perez|KC|Starting Pitcher|72|150|29.73|One Royal Way|Kansas City, MO 64129
Gil Meche|KC|Starting Pitcher|75|200|28.48|One Royal Way|Kansas City, MO 64129
Neal Musser|KC|Starting Pitcher|73|215|26.51|One Royal Way|Kansas City, MO 64129
Brian Bannister|KC|Starting Pitcher|74|202|26.0|One Royal Way|Kansas City, MO 64129
Zack Greinke|KC|Starting Pitcher|74|200|23.36|One Royal Way|Kansas City, MO 64129
Jorge De La Rosa|KC|Starting Pitcher|73|190|25.9|One Royal Way|Kansas City, MO 64129
Todd Wellemeyer|KC|Relief Pitcher|75|205|28.5|One Royal Way|Kansas City, MO 64129
Jimmy Gobble|KC|Relief Pitcher|75|190|25.62|One Royal Way|Kansas City, MO 64129
Joel Peralta|KC|Relief Pitcher|71|160|30.94|One Royal Way|Kansas City, MO 64129
Ryan Braun|KC|Relief Pitcher|73|215|26.59|One Royal Way|Kansas City, MO 64129
Joakim Soria|KC|Relief Pitcher|75|185|22.78|One Royal Way|Kansas City, MO 64129
Ken Ray|KC|Relief Pitcher|74|200|32.26|One Royal Way|Kansas City, MO 64129
David Riske|KC|Relief Pitcher|74|190|30.35|One Royal Way|Kansas City, MO 64129
Octavio Dotel|KC|Relief Pitcher|72|210|33.26|One Royal Way|Kansas City, MO 64129
Joe Nelson|KC|Relief Pitcher|74|185|32.35|One Royal Way|Kansas City, MO 64129
Gerald Laird|TEX|Catcher|74|220|27.3|1000 Ballpark Way|Arlington, TX 76011
Miguel Ojeda|TEX|Catcher|74|190|32.08|1000 Ballpark Way|Arlington, TX 76011
Guillermo Quiroz|TEX|Catcher|73|202|25.25|1000 Ballpark Way|Arlington, TX 76011
Chris Stewart|TEX|Catcher|76|205|25.03|1000 Ballpark Way|Arlington, TX 76011
Mark Teixeira|TEX|First Baseman|75|220|26.89|1000 Ballpark Way|Arlington, TX 76011
Ian Kinsler|TEX|Second Baseman|72|175|24.69|1000 Ballpark Way|Arlington, TX 76011
Joaquin Arias|TEX|Shortstop|73|160|22.44|1000 Ballpark Way|Arlington, TX 76011
Michael Young|TEX|Shortstop|73|190|30.36|1000 Ballpark Way|Arlington, TX 76011
Hank Blalock|TEX|Third Baseman|73|200|26.27|1000 Ballpark Way|Arlington, TX 76011
Marlon Byrd|TEX|Outfielder|72|229|29.5|1000 Ballpark Way|Arlington, TX 76011
Brad Wilkerson|TEX|Outfielder|72|206|29.75|1000 Ballpark Way|Arlington, TX 76011
Sammy Sosa|TEX|Outfielder|72|220|38.3|1000 Ballpark Way|Arlington, TX 76011
Kenny Lofton|TEX|Outfielder|72|180|39.75|1000 Ballpark Way|Arlington, TX 76011
Frank Catalanotto|TEX|Outfielder|71|195|32.84|1000 Ballpark Way|Arlington, TX 76011
Nelson Cruz|TEX|Outfielder|75|175|26.66|1000 Ballpark Way|Arlington, TX 76011
Jason Botts|TEX|Designated Hitter|77|250|26.6|1000 Ballpark Way|Arlington, TX 76011
Robinson Tejeda|TEX|Starting Pitcher|75|188|24.94|1000 Ballpark Way|Arlington, TX 76011
John Rheinecker|TEX|Starting Pitcher|74|230|27.76|1000 Ballpark Way|Arlington, TX 76011
Edinson Volquez|TEX|Starting Pitcher|73|190|23.66|1000 Ballpark Way|Arlington, TX 76011
A.J. Murray|TEX|Starting Pitcher|75|200|24.96|1000 Ballpark Way|Arlington, TX 76011
Brandon McCarthy|TEX|Starting Pitcher|79|190|23.65|1000 Ballpark Way|Arlington, TX 76011
Vicente Padilla|TEX|Starting Pitcher|74|219|29.42|1000 Ballpark Way|Arlington, TX 76011
Kevin Millwood|TEX|Starting Pitcher|76|235|32.18|1000 Ballpark Way|Arlington, TX 76011
John Koronka|TEX|Starting Pitcher|73|180|26.66|1000 Ballpark Way|Arlington, TX 76011
Frank Francisco|TEX|Relief Pitcher|74|180|27.47|1000 Ballpark Way|Arlington, TX 76011
Francisco Cruceta|TEX|Relief Pitcher|74|180|25.66|1000 Ballpark Way|Arlington, TX 76011
Akinori Otsuka|TEX|Relief Pitcher|72|200|35.13|1000 Ballpark Way|Arlington, TX 76011
Eric Gagne|TEX|Relief Pitcher|74|234|31.15|1000 Ballpark Way|Arlington, TX 76011
Ron Mahay|TEX|Relief Pitcher|74|185|35.67|1000 Ballpark Way|Arlington, TX 76011
Joaquin Benoit|TEX|Relief Pitcher|75|220|29.6|1000 Ballpark Way|Arlington, TX 76011
Rick Bauer|TEX|Relief Pitcher|78|223|30.14|1000 Ballpark Way|Arlington, TX 76011
Josh Rupe|TEX|Relief Pitcher|74|200|24.53|1000 Ballpark Way|Arlington, TX 76011
Wes Littleton|TEX|Relief Pitcher|74|210|24.49|1000 Ballpark Way|Arlington, TX 76011
C.J. Wilson|TEX|Relief Pitcher|74|200|26.28|1000 Ballpark Way|Arlington, TX 76011
Scott Feldman|TEX|Relief Pitcher|77|210|24.06|1000 Ballpark Way|Arlington, TX 76011
Gregg Zaun|TOR|Catcher|70|190|35.88||
Jason Phillips|TOR|Catcher|73|177|30.42||
Lyle Overbay|TOR|First Baseman|74|227|30.09||
Russ Adams|TOR|Second Baseman|73|180|26.5||
Aaron Hill|TOR|Second Baseman|71|195|24.94||
Jason Smith|TOR|Second Baseman|75|199|29.6||
John McDonald|TOR|Shortstop|71|175|32.43||
Royce Clayton|TOR|Shortstop|72|185|37.16||
Troy Glaus|TOR|Third Baseman|77|240|30.57||
John Hattig|TOR|Third Baseman|74|210|27.01||
Reed Johnson|TOR|Outfielder|70|180|30.23||
Alex Rios|TOR|Outfielder|77|194|26.03||
Vernon Wells|TOR|Outfielder|73|225|28.23||
Frank Thomas|TOR|Designated Hitter|77|275|38.76||
Adam Lind|TOR|Designated Hitter|74|195|23.62||
Shaun Marcum|TOR|Starting Pitcher|72|180|25.21||
Casey Janssen|TOR|Starting Pitcher|76|205|25.45||
Gustavo Chacin|TOR|Starting Pitcher|71|193|26.24||
A.J. Burnett|TOR|Starting Pitcher|76|230|30.15||
Roy Halladay|TOR|Starting Pitcher|78|230|29.8||
John Thomson|TOR|Starting Pitcher|75|220|33.41||
Tomo Ohka|TOR|Starting Pitcher|73|200|30.95||
B.J. Ryan|TOR|Relief Pitcher|78|249|31.17||
Scott Downs|TOR|Relief Pitcher|74|190|30.95||
Brian Tallet|TOR|Relief Pitcher|79|208|29.44||
Matt Roney|TOR|Relief Pitcher|75|245|27.14||
Tracy Thorpe|TOR|Relief Pitcher|76|250|26.21||
Jean Machi|TOR|Relief Pitcher|72|160|24.08||
Brandon League|TOR|Relief Pitcher|75|192|23.96||
Dustin McGowan|TOR|Relief Pitcher|75|220|24.94||
Jason Frasor|TOR|Relief Pitcher|70|170|29.56||
Francisco Rosario|TOR|Relief Pitcher|72|197|26.42||
Davis Romero|TOR|Relief Pitcher|70|155|23.92||
Jeremy Accardo|TOR|Relief Pitcher|74|190|25.23||
Mike Redmond|MIN|Catcher|71|200|35.82|1 Twins Way|Minneapolis, MN 55403
Joe Mauer|MIN|Catcher|76|220|23.87|1 Twins Way|Minneapolis, MN 55403
Chris Heintz|MIN|Catcher|73|210|32.57|1 Twins Way|Minneapolis, MN 55403
Justin Morneau|MIN|First Baseman|76|228|25.79|1 Twins Way|Minneapolis, MN 55403
Luis Castillo|MIN|Second Baseman|71|190|31.47|1 Twins Way|Minneapolis, MN 55403
Alexi Casilla|MIN|Second Baseman|69|160|22.61|1 Twins Way|Minneapolis, MN 55403
Alejandro Machado|MIN|Second Baseman|72|184|24.85|1 Twins Way|Minneapolis, MN 55403
Jason Bartlett|MIN|Shortstop|72|180|27.33|1 Twins Way|Minneapolis, MN 55403
Luis Rodriguez|MIN|Third Baseman|69|180|26.67|1 Twins Way|Minneapolis, MN 55403
Jeff Cirillo|MIN|Third Baseman|73|200|37.43|1 Twins Way|Minneapolis, MN 55403
Nick Punto|MIN|Third Baseman|69|176|29.31|1 Twins Way|Minneapolis, MN 55403
Jason Tyner|MIN|Outfielder|73|160|29.85|1 Twins Way|Minneapolis, MN 55403
Michael Cuddyer|MIN|Outfielder|74|222|27.93|1 Twins Way|Minneapolis, MN 55403
Torii Hunter|MIN|Outfielder|74|211|31.62|1 Twins Way|Minneapolis, MN 55403
Lew Ford|MIN|Outfielder|72|195|30.55|1 Twins Way|Minneapolis, MN 55403
Jason Kubel|MIN|Outfielder|71|200|24.77|1 Twins Way|Minneapolis, MN 55403
Josh Rabe|MIN|Designated Hitter|74|210|28.38|1 Twins Way|Minneapolis, MN 55403
Rondell White|MIN|Designated Hitter|73|225|35.02|1 Twins Way|Minneapolis, MN 55403
Ramon Ortiz|MIN|Starting Pitcher|72|175|33.77|1 Twins Way|Minneapolis, MN 55403
Johan Santana|MIN|Starting Pitcher|72|206|27.97|1 Twins Way|Minneapolis, MN 55403
Carlos Silva|MIN|Starting Pitcher|76|240|27.85|1 Twins Way|Minneapolis, MN 55403
Matt Garza|MIN|Starting Pitcher|76|185|23.26|1 Twins Way|Minneapolis, MN 55403
Boof Bonser|MIN|Starting Pitcher|76|260|25.38|1 Twins Way|Minneapolis, MN 55403
Francisco Liriano|MIN|Starting Pitcher|74|185|23.35|1 Twins Way|Minneapolis, MN 55403
Scott Baker|MIN|Starting Pitcher|76|221|25.45|1 Twins Way|Minneapolis, MN 55403
Pat Neshek|MIN|Relief Pitcher|75|205|26.49|1 Twins Way|Minneapolis, MN 55403
Glen Perkins|MIN|Relief Pitcher|71|200|24.0|1 Twins Way|Minneapolis, MN 55403
Julio DePaula|MIN|Relief Pitcher|72|170|24.16|1 Twins Way|Minneapolis, MN 55403
Juan Rincon|MIN|Relief Pitcher|71|201|28.1|1 Twins Way|Minneapolis, MN 55403
Jesse Crain|MIN|Relief Pitcher|73|205|25.65|1 Twins Way|Minneapolis, MN 55403
Matt Guerrier|MIN|Relief Pitcher|75|185|28.58|1 Twins Way|Minneapolis, MN 55403
Joe Nathan|MIN|Relief Pitcher|76|205|32.27|1 Twins Way|Minneapolis, MN 55403
Dennys Reyes|MIN|Relief Pitcher|75|245|29.86|1 Twins Way|Minneapolis, MN 55403
Brayan Pe?a|ATL|Catcher|71|220|25.14|755 Battery Avenue|Atlanta, GA 30339
Brian McCann|ATL|Catcher|75|210|23.03|755 Battery Avenue|Atlanta, GA 30339
Craig Wilson|ATL|First Baseman|74|220|30.25|755 Battery Avenue|Atlanta, GA 30339
Chris Woodward|ATL|Second Baseman|72|185|30.67|755 Battery Avenue|Atlanta, GA 30339
Pete Orr|ATL|Second Baseman|73|175|27.73|755 Battery Avenue|Atlanta, GA 30339
Martin Prado|ATL|Second Baseman|73|170|23.34|755 Battery Avenue|Atlanta, GA 30339
Tony Pe?a|ATL|Shortstop|73|180|25.94|755 Battery Avenue|Atlanta, GA 30339
Edgar Renteria|ATL|Shortstop|73|200|31.56|755 Battery Avenue|Atlanta, GA 30339
Chipper Jones|ATL|Third Baseman|76|210|34.85|755 Battery Avenue|Atlanta, GA 30339
Willy Aybar|ATL|Third Baseman|72|175|23.98|755 Battery Avenue|Atlanta, GA 30339
Jeff Francoeur|ATL|Outfielder|76|220|23.14|755 Battery Avenue|Atlanta, GA 30339
Matt Diaz|ATL|Outfielder|73|206|28.99|755 Battery Avenue|Atlanta, GA 30339
Kelly Johnson|ATL|Outfielder|73|180|25.02|755 Battery Avenue|Atlanta, GA 30339
Andruw Jones|ATL|Outfielder|73|210|29.85|755 Battery Avenue|Atlanta, GA 30339
Ryan Langerhans|ATL|Outfielder|75|195|27.03|755 Battery Avenue|Atlanta, GA 30339
Scott Thorman|ATL|Outfielder|75|200|25.15|755 Battery Avenue|Atlanta, GA 30339
T.J. Bohn|ATL|Outfielder|77|200|27.12|755 Battery Avenue|Atlanta, GA 30339
Tim Hudson|ATL|Starting Pitcher|73|164|31.63|755 Battery Avenue|Atlanta, GA 30339
Jonathan Johnson|ATL|Starting Pitcher|72|180|32.62|755 Battery Avenue|Atlanta, GA 30339
John Smoltz|ATL|Starting Pitcher|75|220|39.79|755 Battery Avenue|Atlanta, GA 30339
Mike Hampton|ATL|Starting Pitcher|70|195|34.47|755 Battery Avenue|Atlanta, GA 30339
Kyle Davies|ATL|Starting Pitcher|74|205|23.47|755 Battery Avenue|Atlanta, GA 30339
Chuck James|ATL|Starting Pitcher|72|170|25.31|755 Battery Avenue|Atlanta, GA 30339
Phil Stockman|ATL|Relief Pitcher|80|240|27.1|755 Battery Avenue|Atlanta, GA 30339
Macay McBride|ATL|Relief Pitcher|71|210|24.35|755 Battery Avenue|Atlanta, GA 30339
Joey Devine|ATL|Relief Pitcher|71|195|23.45|755 Battery Avenue|Atlanta, GA 30339
Peter Moylan|ATL|Relief Pitcher|74|200|28.24|755 Battery Avenue|Atlanta, GA 30339
Mike Gonzalez|ATL|Relief Pitcher|74|205|28.77|755 Battery Avenue|Atlanta, GA 30339
Lance Cormier|ATL|Relief Pitcher|73|192|26.53|755 Battery Avenue|Atlanta, GA 30339
Blaine Boyer|ATL|Relief Pitcher|75|190|25.64|755 Battery Avenue|Atlanta, GA 30339
Manny Acosta|ATL|Relief Pitcher|76|170|25.83|755 Battery Avenue|Atlanta, GA 30339
Bob Wickman|ATL|Relief Pitcher|73|240|38.06|755 Battery Avenue|Atlanta, GA 30339
Tanyon Sturtze|ATL|Relief Pitcher|77|200|36.38|755 Battery Avenue|Atlanta, GA 30339
Oscar Villarreal|ATL|Relief Pitcher|72|205|25.27|755 Battery Avenue|Atlanta, GA 30339
Rafael Soriano|ATL|Relief Pitcher|73|175|27.2|755 Battery Avenue|Atlanta, GA 30339
Chad Paronto|ATL|Relief Pitcher|77|250|31.59|755 Battery Avenue|Atlanta, GA 30339
Tyler Yates|ATL|Relief Pitcher|76|220|29.56|755 Battery Avenue|Atlanta, GA 30339
Henry Blanco|CHC|Catcher|71|224|35.5|1060 West Addison|Chicago, IL 60613-4397
Michael Barrett|CHC|Catcher|75|210|30.35|1060 West Addison|Chicago, IL 60613-4397
Geovany Soto|CHC|Catcher|73|195|24.11|1060 West Addison|Chicago, IL 60613-4397
Scott Moore|CHC|First Baseman|74|180|23.29|1060 West Addison|Chicago, IL 60613-4397
Derrek Lee|CHC|First Baseman|77|245|31.48|1060 West Addison|Chicago, IL 60613-4397
Ryan Theriot|CHC|Second Baseman|71|175|27.23|1060 West Addison|Chicago, IL 60613-4397
Ronny Cedeno|CHC|Shortstop|72|180|24.07|1060 West Addison|Chicago, IL 60613-4397
Aramis Ramirez|CHC|Third Baseman|73|215|28.68|1060 West Addison|Chicago, IL 60613-4397
Cesar Izturis|CHC|Third Baseman|69|175|27.05|1060 West Addison|Chicago, IL 60613-4397
Alfonso Soriano|CHC|Outfielder|73|180|31.15|1060 West Addison|Chicago, IL 60613-4397
Jacque Jones|CHC|Outfielder|70|195|31.85|1060 West Addison|Chicago, IL 60613-4397
Daryle Ward|CHC|Outfielder|74|230|31.68|1060 West Addison|Chicago, IL 60613-4397
Cliff Floyd|CHC|Outfielder|76|230|34.23|1060 West Addison|Chicago, IL 60613-4397
Mark DeRosa|CHC|Outfielder|73|205|32.01|1060 West Addison|Chicago, IL 60613-4397
Matt Murton|CHC|Outfielder|73|215|25.41|1060 West Addison|Chicago, IL 60613-4397
Buck Coats|CHC|Outfielder|75|195|24.73|1060 West Addison|Chicago, IL 60613-4397
Angel Pagan|CHC|Outfielder|73|180|25.66|1060 West Addison|Chicago, IL 60613-4397
Sean Marshall|CHC|Starting Pitcher|79|205|24.5|1060 West Addison|Chicago, IL 60613-4397
Carlos Marmol|CHC|Starting Pitcher|74|180|24.38|1060 West Addison|Chicago, IL 60613-4397
Ryan O'Malley|CHC|Starting Pitcher|73|190|26.89|1060 West Addison|Chicago, IL 60613-4397
Juan Mateo|CHC|Starting Pitcher|74|180|24.2|1060 West Addison|Chicago, IL 60613-4397
Rich Hill|CHC|Starting Pitcher|77|190|26.97|1060 West Addison|Chicago, IL 60613-4397
Angel Guzman|CHC|Starting Pitcher|75|190|25.21|1060 West Addison|Chicago, IL 60613-4397
Wade Miller|CHC|Starting Pitcher|74|220|30.46|1060 West Addison|Chicago, IL 60613-4397
Jason Marquis|CHC|Starting Pitcher|73|210|28.53|1060 West Addison|Chicago, IL 60613-4397
Carlos Zambrano|CHC|Starting Pitcher|77|255|25.75|1060 West Addison|Chicago, IL 60613-4397
Ted Lilly|CHC|Starting Pitcher|73|190|31.15|1060 West Addison|Chicago, IL 60613-4397
Mark Prior|CHC|Starting Pitcher|77|230|26.48|1060 West Addison|Chicago, IL 60613-4397
Neal Cotts|CHC|Relief Pitcher|74|200|26.93|1060 West Addison|Chicago, IL 60613-4397
Will Ohman|CHC|Relief Pitcher|74|205|29.55|1060 West Addison|Chicago, IL 60613-4397
Scott Eyre|CHC|Relief Pitcher|73|210|34.75|1060 West Addison|Chicago, IL 60613-4397
Kerry Wood|CHC|Relief Pitcher|77|225|29.71|1060 West Addison|Chicago, IL 60613-4397
Ryan Dempster|CHC|Relief Pitcher|74|215|29.83|1060 West Addison|Chicago, IL 60613-4397
Bob Howry|CHC|Relief Pitcher|77|220|33.57|1060 West Addison|Chicago, IL 60613-4397
Mike Wuertz|CHC|Relief Pitcher|75|205|28.21|1060 West Addison|Chicago, IL 60613-4397
Roberto Novoa|CHC|Relief Pitcher|77|200|27.54|1060 West Addison|Chicago, IL 60613-4397
Chris Snyder|ARZ|Catcher|75|220|26.05||
Miguel Montero|ARZ|Catcher|71|197|23.64||
Conor Jackson|ARZ|First Baseman|74|225|24.82||
Robby Hammock|ARZ|First Baseman|70|187|29.8||
Tony Clark|ARZ|First Baseman|79|245|34.71||
Orlando Hudson|ARZ|Second Baseman|72|185|29.22||
Stephen Drew|ARZ|Shortstop|72|185|23.96||
Alberto Callaspo|ARZ|Shortstop|70|175|23.87||
Chad Tracy|ARZ|Third Baseman|74|200|26.77||
Chris Young|ARZ|Outfielder|74|180|23.49||
Scott Hairston|ARZ|Outfielder|72|188|26.77||
Carlos Quentin|ARZ|Outfielder|73|225|24.51||
Jeff DaVanon|ARZ|Outfielder|72|200|33.23||
Eric Byrnes|ARZ|Outfielder|74|210|31.04||
Livan Hernandez|ARZ|Starting Pitcher|74|245|32.02||
Doug Davis|ARZ|Starting Pitcher|76|213|31.44||
Randy Johnson|ARZ|Starting Pitcher|82|231|43.47||
Juan Cruz|ARZ|Starting Pitcher|74|165|28.38||
Brandon Webb|ARZ|Starting Pitcher|74|228|27.81||
Enrique Gonzalez|ARZ|Starting Pitcher|70|210|24.57||
Dana Eveland|ARZ|Starting Pitcher|73|250|23.34||
Brandon Medders|ARZ|Relief Pitcher|73|191|27.09||
Tony Pe?a|ARZ|Relief Pitcher|74|190|25.14||
Doug Slaten|ARZ|Relief Pitcher|77|200|27.07||
Edgar Gonzalez|ARZ|Relief Pitcher|72|215|24.02||
Jose Valverde|ARZ|Relief Pitcher|76|254|27.6||
Jorge Julio|ARZ|Relief Pitcher|73|232|27.99||
Brandon Lyon|ARZ|Relief Pitcher|73|180|27.56||
Miguel Olivo|FLA|Catcher|72|215|28.63||
Matt Treanor|FLA|Catcher|74|220|30.99||
Mike Jacobs|FLA|First Baseman|74|180|26.33||
Dan Uggla|FLA|Second Baseman|71|200|26.97||
Robert Andino|FLA|Shortstop|72|170|22.85||
Hanley Ramirez|FLA|Shortstop|75|195|23.19||
Miguel Cabrera|FLA|Third Baseman|74|210|23.87||
Aaron Boone|FLA|Third Baseman|74|200|33.98||
Joe Borchard|FLA|Outfielder|77|220|28.26||
Alfredo Amezaga|FLA|Outfielder|70|165|29.12||
Cody Ross|FLA|Outfielder|71|180|26.18||
Josh Willingham|FLA|Outfielder|73|200|28.03||
Jeremy Hermida|FLA|Outfielder|76|200|23.08||
Eric Reed|FLA|Outfielder|71|170|26.24||
Reggi Abercrombie|FLA|Outfielder|75|224|26.63||
Ricky Nolasco|FLA|Starting Pitcher|74|220|24.21||
Anibal Sanchez|FLA|Starting Pitcher|72|180|23.01||
Scott Olsen|FLA|Starting Pitcher|76|198|23.13||
Josh Johnson|FLA|Starting Pitcher|79|240|23.08||
Dontrelle Willis|FLA|Starting Pitcher|76|239|25.13||
Logan Kensing|FLA|Relief Pitcher|73|185|24.66||
Sergio Mitre|FLA|Relief Pitcher|76|210|26.03||
Kevin Gregg|FLA|Relief Pitcher|78|220|28.7||
Travis Bowyer|FLA|Relief Pitcher|75|200|25.57||
Renyel Pinto|FLA|Relief Pitcher|76|195|24.65||
Randy Messenger|FLA|Relief Pitcher|72|220|25.55||
Yusmeiro Petit|FLA|Relief Pitcher|72|230|22.27||
Carlos Martinez|FLA|Relief Pitcher|73|170|24.76||
Taylor Tankersley|FLA|Relief Pitcher|73|220|23.98||
Henry Owens|FLA|Relief Pitcher|75|230|27.85||
Jose Garcia|FLA|Relief Pitcher|71|165|22.14||
Matt Lindstrom|FLA|Relief Pitcher|76|205|27.05||
Javier Valentin|CIN|Catcher|70|192|31.45|100 Main Street|Cincinnati, OH 45202-4109
Chad Moeller|CIN|Catcher|75|210|32.03|100 Main Street|Cincinnati, OH 45202-4109
David Ross|CIN|Catcher|74|205|29.95|100 Main Street|Cincinnati, OH 45202-4109
Joey Votto|CIN|First Baseman|75|200|23.47|100 Main Street|Cincinnati, OH 45202-4109
Scott Hatteberg|CIN|First Baseman|73|210|37.21|100 Main Street|Cincinnati, OH 45202-4109
Brandon Phillips|CIN|Second Baseman|71|185|25.67|100 Main Street|Cincinnati, OH 45202-4109
Juan Castro|CIN|Shortstop|71|195|34.69|100 Main Street|Cincinnati, OH 45202-4109
Alex Gonzalez|CIN|Shortstop|72|202|30.04|100 Main Street|Cincinnati, OH 45202-4109
Mark Bellhorn|CIN|Third Baseman|73|205|32.52|100 Main Street|Cincinnati, OH 45202-4109
Edwin Encarnacion|CIN|Third Baseman|73|195|24.15|100 Main Street|Cincinnati, OH 45202-4109
Jeff Keppinger|CIN|Third Baseman|72|180|26.86|100 Main Street|Cincinnati, OH 45202-4109
Norris Hopper|CIN|Outfielder|69|200|27.94|100 Main Street|Cincinnati, OH 45202-4109
Chris Denorfia|CIN|Outfielder|73|185|26.63|100 Main Street|Cincinnati, OH 45202-4109
Adam Dunn|CIN|Outfielder|78|240|27.31|100 Main Street|Cincinnati, OH 45202-4109
Bubba Crosby|CIN|Outfielder|71|185|30.55|100 Main Street|Cincinnati, OH 45202-4109
Jeff Conine|CIN|Outfielder|73|220|40.68|100 Main Street|Cincinnati, OH 45202-4109
